artist,track,album
DIR EN GREY,DIFFERENT SENSE,VESTIGE OF SCRATCHES
Crossfaith,Devil's Party,XENO
メガデス,Another Bad Day,Megadeth
メガデス,Made to Kill,Megadeth
スリップノット,Nero Forte,We Are Not Your Kind
Sān-Z & HOYO-MiX,Come Alive,Come Alive (Zenless Zone Zero Opening Theme Song) - Single
Paledusk,9 SMILES,9 SMILES - Single
コーン,Got the Life,Follow The Leader
DIR EN GREY,人間を被る,The Insulated World
BABYMETAL,Distortion (feat. Alissa White-Gluz),METAL GALAXY
DIR EN GREY,詩踏み,VESTIGE OF SCRATCHES
コーン,Blind,Korn
BABYMETAL,ド・キ・ド・キ☆モーニング,BABYMETAL
アイアン・メイデン,Aces High,Powerslave
Electric Callboy,We Got the Moves,We Got the Moves - Single
メガデス,Obey The Call,Megadeth
DIR EN GREY,アクロの丘,VESTIGE OF SCRATCHES
DIR EN GREY,C,VESTIGE OF SCRATCHES
ジューダス・プリースト,Breaking the Law,British Steel (Bonus Track Version)
メタリカ,72 Seasons,72 Seasons
Crossfaith,Wildfire (feat. Benji Webbe),XENO
メガデス,I Am War,Megadeth
花冷え。,メタ盛るフォーゼ!,メタ盛るフォーゼ! - Single
メタリカ,Blackened,…And Justice for All (Remastered)
メガデス,The Last Note,Megadeth
BABYMETAL,シンコペーション,METAL RESISTANCE
パンテラ,Cowboys from Hell,Cowboys from Hell
バッド・オーメンズ,Just Pretend,THE DEATH OF PEACE OF MIND
コーン,Freak On a Leash,Follow The Leader
メタリカ,Hardwired,Hardwired…To Self-Destruct (Deluxe)
Paledusk,WIND BACK,WIND BACK - Single
花冷え。,超次元ギャラクシー,来世は偉人!
DIR EN GREY,鼓動,VESTIGE OF SCRATCHES
DIR EN GREY,CLEVER SLEAZOID,VESTIGE OF SCRATCHES
Knosis,SHINMON,GENKNOSIS
メタリカ,Nothing Else Matters,Metallica (Remastered)
DIR EN GREY,朧,PHALARIS
パンテラ,Walk,Vulgar Display of Power
DIR EN GREY,残,VESTIGE OF SCRATCHES
メタリカ,Sad But True,Metallica (Remastered)
花冷え。,GIRL'S TALK,HOT TOPIC - EP
オジー・オズボーン,Shot In the Dark,The Ultimate Sin
花冷え。,おいしいサバイバー,おいしいサバイバー - Single
Crystal Lake,The Weight of Sound,The Weight of Sound
Crossfaith,Gimme Danger (feat. ralph),Gimme Danger (feat. ralph) - Single
スリップノット,Custer,.5: The Gray Chapter (Special Edition)
Crossfaith,Freedom (feat. Rou Reynolds),EX_MACHINA
メガデス,Symphony of Destruction,Countdown to Extinction (Bonus Track Version)
ドリーム・シアター,Night Terror,Parasomnia
花冷え。,NEET GAME,来世は偉人!
メタリカ,Lux Æterna,72 Seasons
スリップノット,The Dying Song (Time To Sing),"The End, So Far"
パンテラ,Mouth for War,Vulgar Display of Power
ハロウィン,Eagle Fly Free,"Keeper of the Seven Keys, Pt. II (Expanded Edition)"
スリップノット,Surfacing,Slipknot
DIR EN GREY,Ranunculus,The Insulated World
オジー・オズボーン,I Don't Wanna Stop,Black Rain (Expanded Edition)
DIR EN GREY,DRAIN AWAY,VESTIGE OF SCRATCHES
アイアン・メイデン,2 Minutes To Midnight,Powerslave
メガデス,Holy Wars... The Punishment Due,Rust In Peace
Paledusk,LIGHTS,HAPPY TALK - EP
DIR EN GREY,VINUSHKA,UROBOROS [Remastered & Expanded]
ドリーム・シアター,Pull Me Under,Images and Words
Crystal Lake,Everblack (feat. David Simonich),The Weight of Sound
Knosis,DOKUNUMA,GENKNOSIS
JILUKA,DeViLs,DeViLs - Single
Crystal Lake,Lost In Forever,HELIX
BABYMETAL,Divine Attack - 神撃 -,THE OTHER ONE
BABYMETAL,Amore - 蒼星 -,METAL RESISTANCE
メタリカ,"Atlas, Rise!",Hardwired…To Self-Destruct (Deluxe)
ザ・リーサルウェポンズ & マーク・ハドソン,あいさつメタル,あいさつメタル - Single
BABYMETAL,Arkadia,METAL GALAXY
BABYMETAL,ヤバッ!,METAL RESISTANCE
モーターヘッド,Ace of Spades,Ace of Spades (Expanded Edition)
花冷え。,Today's Good Day & So Epic,来世は偉人!
Crossfaith,DV;MM¥ SY5T3M...,AЯK
Knosis,GENKNOSIS,GENKNOSIS
Paledusk,Q2,HAPPY TALK - EP
SiM,UNDER THE TREE (Full Length Ver.),PLAYDEAD
ジューダス・プリースト,You've Got Another Thing Comin',Screaming for Vengeance (Bonus Track Version)
アイアン・メイデン,The Number of the Beast,The Number of the Beast
オジー・オズボーン,Mr. Crowley,Blizzard of Ozz (40th Anniversary Expanded Edition)
Paledusk,BBB (feat. Such),BBB (feat. Such) - Single
ドリーム・シアター,"Metropolis, Pt. 1: The Miracle and the Sleeper",Images and Words
ハロウィン,I Want Out,"Keeper of the Seven Keys, Pt. II (Expanded Edition)"
Crystal Lake,Aeon,HELIX
Electric Callboy,Elevator Operator,Elevator Operator - Single
"Nik Nocturnal, Knosis & The Hideout Studios",オトノケ - Otonoke,オトノケ - Otonoke - Single
SiM,BBT,PLAYDEAD
花冷え。,ぶっちぎり東京,ぶっちぎり東京 - EP
スリップノット,The Blister Exists,Vol. 3 The Subliminal Verses
BABYMETAL,Light and Darkness,THE OTHER ONE
メタリカ,Ride the Lightning (Remastered),Ride the Lightning (Remastered)
Crystal Lake,Apollo,HELIX
Graupel,Beloved,Beloved - Single
BABYMETAL,Monochrome,THE OTHER ONE
コーン,Falling Away from Me,Issues
DIR EN GREY,ain’t afraid to die,VESTIGE OF SCRATCHES
DIR EN GREY,The Perfume of Sins,PHALARIS
Electric Callboy,TANZNEID,TANZNEID - Single
葛葉 & 加賀美ハヤト,クロウ,クロウ - Single
Crystal Lake,Neversleep (feat. Myke Terry),The Weight of Sound
Major Moment,Promises,Promises - Single
DIR EN GREY,JESSICA,VESTIGE OF SCRATCHES
Knosis,SEISAI,GENKNOSIS
メガデス,Hangar 18,Rust In Peace
Knosis,TANEBI,GENKNOSIS
DIR EN GREY,GLASS SKIN,UROBOROS [Remastered & Expanded]
ドリーム・シアター,Midnight Messiah,Parasomnia
BABYMETAL,METAL KINGDOM,THE OTHER ONE
メタリカ,Creeping Death (Remastered),Ride the Lightning (Remastered)
ドリーム・シアター,The Shadow Man Incident,Parasomnia
ラムシュタイン,Du hast,Sehnsucht
ドリーム・シアター,In the Arms of Morpheus,Parasomnia
ジューダス・プリースト,Electric Eye,Screaming for Vengeance (Bonus Track Version)
アイアン・メイデン,Run to the Hills,The Number of the Beast
メタリカ,The Unforgiven,Metallica (Remastered)
BABYMETAL,THE ONE,METAL RESISTANCE
Crossfaith,Faint (feat. Masato),EX_MACHINA
Crystal Lake,BlüdGod (feat. Taylor Barber),BlüdGod (feat. Taylor Barber) - Single
DEXCORE,SKINDEEP,SKINDEEP - Single
Earthists.,SHAPEBREAKER,HYPERMETAL - EP
DIR EN GREY,CHILD PREY,VESTIGE OF SCRATCHES
Knosis,IMIONI,GENKNOSIS
DIR EN GREY,Sustain the untruth,VESTIGE OF SCRATCHES
アイアン・メイデン,Fear of the Dark,Fear of the Dark
花冷え。,かるガルEveryday!!,かるガルEveryday!! - Single
メタリカ,Seek & Destroy (Remastered),Kill 'Em All (Remastered)
403,Southern Cross,N.E.W.S.
BABYMETAL,Mirror Mirror,THE OTHER ONE
Crossfaith,Rx Overdrive,New Age Warriors - Single
808,You,You - Single
BANTY FOOT,交差点 (feat. Express),everyday is a NEW DAY
SPICY CHOCOLATE,ずっと (feat.HAN-KUN & TEE),ずっと (feat.HAN-KUN & TEE) - Single
CHEHON,韻波句徒,韻波句徒
Peromu,Crazy Zone,Crazy Zone - Single
三木道三,Lifetime Respect,Lifetime Respect
ARARE,ADVISE -最悪ノ事態 Riddim-,ADVISE -最悪ノ事態 Riddim- / アドバイス -喉仏 Riddim- - Single
lecca,TSUBOMI feat. 九州男,パワーバタフライ
EXPRESS,もぐらの唄,もぐらのアルバム
CHEHON,みどり,みどり - EP
SPICY CHOCOLATE,"君のことが好きだったんだ (feat. BENI, Shuta Sueyoshi (AAA) & HAN-KUN)",スパイシーチョコレート BEST OF LOVE SONGS
九州男,手紙。。(feat.hiroko (mihimaru GT)) [album version] [feat. hiroko],(R)「マルアール」
SPICY CHOCOLATE,"ずっと (feat. HAN-KUN, TEE, 百足, 韻マン, CHEHON & J‐REXXX) [Remix]","ずっと (Remix) [feat. HAN-KUN, TEE, 百足, 韻マン, CHEHON & J‐REXXX] - Single"
ベリーグッドマン,ライトスタンド,Sing Sing Sing 3
Rickie-G,90's HONCH,90's HONCH - Single
SPICY CHOCOLATE,目玉焼き (feat. GADORO & ARARE),TOKYO HEART BEATS 2
THUNDER,好きなように生きればいい (feat. GADORO),LAST START
MEGARYU,夜空に咲く花,メガ・ベスト〜我流全集〜
SPICY CHOCOLATE,しあわせ (feat. Ms.OOJA & SALU),スパイシーチョコレート BEST OF LOVE SONGS
Rickie-G,ラブソウル,am08:59
九州男,1/6000000000 (feat. C&K),1/6000000000 feat. C&K - EP
Peromu,Call You Up,Call You Up - Single
de〜ku,あきらめんな,あきらめんな - Single
lecca,For You,For You - EP
SPICY CHOCOLATE,うれし涙 (feat. シェネル & MACO),スパイシーチョコレート BEST OF LOVE SONGS
CHEHON,BABY DON’T CRY,RAGGA KANON
RAY,"脳内麻薬 (feat. CHEHON, MAKA, 句潤, POWER WAVE, CIMA & keith) [Remix]","脳内麻薬 (feat. CHEHON, MAKA, 句潤, POWER WAVE, CIMA & keith) [Remix] - Single"
Rickie-G,am08:59,am08:59
BANTY FOOT,Light It Up (feat. RUDEBWOY FACE & ¥ellow Bucks),#CCC
Rickie-G,Life is wonderful,Life is wonderful - EP
775,よってらっしゃい,くのいち - EP
KOOTARO,平和 (remix),平和 (remix) - Single
MAMA,Queen of Highway,Respect
de〜ku,Ride or Die,music supplement Rush modeⅡ
TAK-Z & KIRA,最後のグッバイ feat. SHINGO★西成,最後のグッバイ feat. SHINGO★西成 - Single
Red Eye,ADVISE (feat. ARARE) [Remix],ADVISE (feat. ARARE) [Remix] - Single
ボブ・マーリー & ザ・ウェイラーズ,One Love / People Get Ready,Legend – The Best Of Bob Marley & The Wailers
Peromu,Why Not Me (feat. Otto),Flat Music 5th
KOOTARO,平和,Love is a Message
VIGORMAN,Bad Lady,Bad Lady - Single
RED SPIDER,"緊急事態3 (feat. CHEHON, 775, HAN-KUN, MINMI, JUMBO MAATCH, 三木道三, APOLLO, EXPRESS, KIRA, KENTY GROSS, HISATOMI, BES, NATURAL WEAPON, RAY & SHINGO★西成)","緊急事態3 (feat. CHEHON, 775, HAN-KUN, MINMI, JUMBO MAATCH, 三木道三, APOLLO, EXPRESS, KIRA, KENTY GROSS, HISATOMI, BES, NATURAL WEAPON, RAY & SHINGO★西成) - Single"
"Rickie-G, 韻シスト, 鎮座DOPENESS, CHOZEN LEE & AFRA",MIROKU,MIROKU - EP
Peromu,Still in Love,Still in Love - Single
九州男,"出会い。。 (feat. Big Ron & RED RICE) , BIG RON) [Major mix]",±1
ベリーグッドマン,コンパス,Sing Sing Sing
INFINITY 16,"Dream Lover (feat. 湘南乃風, MOOMIN & MINMI)",Foundation Rock
NAOYA,ドンピシャ,ドンピシャ - Single
"寿君, GUN HYPE & Bad Justice",SEASON IN SUMMER,コンビイズム X 14ゴールデン・コラボレーション
de〜ku,BATTLE MODE,music supplement (Request Series) - EP
ナチュラル・レディオ・ステーション,イマカレ、モトカレ (feat. 宏実),イマカレ、モトカレ (feat. 宏実) - Single
NAOYA,ひたすら,ひたすら - Single
ボブ・マーリー & ザ・ウェイラーズ,Three Little Birds,Legend – The Best Of Bob Marley & The Wailers
SPICY CHOCOLATE,I miss you feat. 清水翔太,渋谷純愛物語
775,KSWD,KSWD - Single
CHEHON,韻波句徒 - From THE FIRST TAKE,韻波句徒 - From THE FIRST TAKE - Single
KEN-U,DOKO,DOKO
ベリーグッドマン,ファンファーレ,Sing Sing Sing
CHEHON,CHALLENGER,BEST
VIGORMAN,大人が言う,DANK NOVA
APOLLO,ふとん,APOLLO
Peromu,Heart Break (feat. OttO),Flat Music 4th
MEGARYU,Day by Day,メガ・ベスト〜我流全集〜
九州男,約束。。(feat.HOME MADE 家族),約束。。(feat.HOME MADE 家族) - Single
Rickie-G,いとしのエリー,Follow Your Heart - EP
lecca,My measure,BEST POSITIVE
SPICY CHOCOLATE,あなたと明日も (feat. ハジ→ & 宇野実彩子 (AAA)),あなたと明日も (feat. ハジ→ & 宇野実彩子 (AAA)) - Single
Peromu,Rise Again,Flat Music 5th
APOLLO,APOLLO Style,APOLLO
導楽,Life Goes On,Life Goes On - Single
LIFE STYLE,BEST PARTNER (feat. CHEHON & ジャパニーズマゲニーズ),WIZ LIFE
RAY,やってもないのに,Rockers Island Presents Best Hit J-Reggae VOL.1
Peromu,No.2,No.2 - Single
ショーン・ポール,No Lie (feat. Dua Lipa),No Lie (feat. Dua Lipa) - Single
RED SPIDER,"麻の中の蓬 (feat. MINMI, 三木道三, APOLLO, KIRA, KENTY GROSS, BES & NATURAL WEAPON)","麻の中の蓬 (feat. MINMI, 三木道三, APOLLO, KIRA, KENTY GROSS, BES & NATURAL WEAPON) - Single"
de〜ku,GEAR & FIRE,GEAR & FIRE - Single
SPICY CHOCOLATE,アガリサガリ (feat. R-指定 & CHEHON),アガリサガリ (feat. R-指定 & CHEHON) - Single
J‐REXXX,MY TOWN feat. 紅桜,M.U.S.I.C
CHEHON,Champion Road,Champion Road - Single
RAGGAREA,One Love (Remastered 2025),One Love (Remastered 2025) - Single
Rickie-G,No Peace No Life feat.CHOZEN LEE from FIRE BALL,am08:59
EXPRESS,闘う貴方へ,闘う貴方へ - Single
Red Eye,自分等の唄 (feat. J-REXXX),LEGEND
ボブ・マーリー & ザ・ウェイラーズ,Is This Love,Legend – The Best Of Bob Marley & The Wailers
REKID,祭りの終わり,祭りの終わり - Single
Otto,Rain Drop,Glitch Emotion
HISATOMI,My Dream,ヒのサのトのミ
寿君,Ai no Uta (feat. MUNEHIRO),SPECIAL THANX ~ありがたや~
Fire Ball,BIRDMAN,"FIRE BALL All Time Best ""WHITE~People's Choice~"""
NAOYA,涙,Sound of Dreams 3
INFINITY 16,一歩前へ (feat. WARSAN),一歩前へ - Single
J‐REXXX,最近の若いやつは,HUMAN
T.O.K.,I Believe,"My Crew, My Dawgs"
775,捻くれ者 (feat. R-指定),捻くれ者 (feat. R-指定) - Single
SPICY CHOCOLATE,最後のPiece (feat. シェネル & Beverly),TOKYO HEART BEATS
808,アンマー(808ver.),アンマー(808ver.) - Single
九州男,窓の外はもう日曜日,1/f
CHEHON,LIKKLE MORE 〜めぐりeye〜,BEST
de〜ku,止まれねぇ理由,music supplement5
lecca,anata,BIG POPPER
SPICY CHOCOLATE,めぐみ (feat. SHOCK EYE & APOLLO),TOKYO HEART BEATS
THUNDER,ONLY MY GIRL,とんだのベスト
SPICY CHOCOLATE,あれからの二人は。 (feat. TAK-Z & 寿君),渋谷純愛物語2
HISATOMI,楽園 (feat. DOZAN11),楽園 (feat. DOZAN11) - Single
CHOUJI,エンジェル (feat. 柊人),エンジェル (feat. 柊人) - Single
BANTY FOOT,忘れ物 (feat. WARSAN),忘れ物 (feat. WARSAN) - Single
Peromu,Secret Dance,FLAT Music
YuMA,影贈り,影贈り - Single
de〜ku,DRIVERS ANTHEM,music supplement Rush modeⅡ
寿君,オレガヤレバ,オレガヤレバ - Single
九州男,雲の上の君え (prologue),HB
ボブ・マーリー & ザ・ウェイラーズ,Could You Be Loved,Legend – The Best Of Bob Marley & The Wailers
LIFE STYLE,"HINOMARU REVIVAL (feat. CHEHON, VIGORMAN, NATURAL WEAPON, RUEED, ZENDAMAN, POWER WAVE, RAY, 寿君, APOLLO, CORN HEAD, RYO the SKYWALKER & JUMBO MAATCH)","HINOMARU REVIVAL (feat. CHEHON, VIGORMAN, NATURAL WEAPON, RUEED, ZENDAMAN, POWER WAVE, RAY, 寿君, APOLLO, CORN HEAD, RYO the SKYWALKER & JUMBO MAATCH) - Single"
lecca,紅空,BEST POSITIVE
THUNDER,薫る味はSWEET,とんだのベスト
CHEHON,Thanks,Seaview Garden
Peromu,Life Reset Again,Life Reset Again - Single
APOLLO,メーデー,APOLLO
775,My ラバ〜 (feat. TEN’s UNIQUE),My ラバ〜 (feat. TEN’s UNIQUE) - Single
Peromu,Bad from City,Bad from City - Single
SPICY CHOCOLATE,出逢った頃のままで 。 feat. TAK-Z & 寿君,ずっとスパイシーチョコレート!~BEST OF 渋谷 RAGGA SWEET COLLECTION
CHEHON,RIDE ON,BEST
KAYA‐9,関西Neon Walk,関西Neon Walk - Single
RAY,脳内麻薬,脳内麻薬 - Single
de〜ku,NO LIMIT REP,music supplement Rush modeⅡ
Fire Ball,"Reggae Bus (feat. PUSHIM, Papa-B, JUNIOR DEE, Douraku, RUEED, RYO the SKYWALKER, MIGHTY JAM ROCK, Jumbo Maatch & Takafi)",one
SPICY CHOCOLATE,シリタイ (feat. C&K & CYBERJAPAN DANCERS),シリタイ (feat. C&K & CYBERJAPAN DANCERS) - EP
Youth of Roots,Strawberry Girl,Strawberry Girl - Single
LIFE STYLE,愛しのベイビー (feat. 紅桜),WIZ LIFE
導楽,Still In Love,Still In Love - EP
PUSHIM,I pray,15th 〜THE BEST OF PUSHIM〜
kurome,夜風,LUNATIC VIBES.vol.1
SPICY CHOCOLATE,ひとつだけの feat. TAK-Z & 當山みれい,渋谷純愛物語
RED SPIDER,"STILL ROCK CITY (feat. APOLLO, KENTY GROSS & NATURAL WEAPON)","STILL ROCK CITY (feat. APOLLO, KENTY GROSS & NATURAL WEAPON) - Single"
Otto,I long for you,I long for you - Single
VIGORMAN,頭悪い天才 feat. BASI,SOLIPSISM
Peromu,O-La-La (feat. OttO),FLAT MUSIC 3rd
SPICY CHOCOLATE,ぴかぴか (feat. Spinna B-ILL & EXPRESS),ぴかぴか (feat. Spinna B-ILL & EXPRESS) - Single
SPICY CHOCOLATE,"信ジルモノ (feat. YU-A, AK-69 & HAN-KUN from 湘南乃風)",スパイシーチョコレート BEST OF LOVE SONGS
J‐REXXX,カラス,カラス - Single
MINMI,Bam Bam (feat. 775),Bam Bam (feat. 775) - Single
lecca,マタイツカ,BEST POSITIVE
lecca,なみだの日,BEST POSITIVE
ボブ・マーリー & ザ・ウェイラーズ,Waiting In Vain,Legend – The Best Of Bob Marley & The Wailers
RYO the SKYWALKER,晴れわたる丘,BEST2 -Deluxe Edition-
RYO the SKYWALKER,FREE,Still On Journey
RYO the SKYWALKER,EVER GREEN,BEST2 -Deluxe Edition-
Otto,Love Again,Love Again - Single
BANTY FOOT,落ちこぼれのスター (feat. EXPRESS),#CCC
九州男,想色コーディネート,想色コーディネート - Single
Rickie-G,ラブレター,逃飛行 - EP
湊 & Gacha Medz,ありがとう,ありがとう - Single
PUSHIM,FOREVER,BEST 1999-2009
ナチュラル・レディオ・ステーション,モトサヤfeat.宏実,モトサヤfeat.宏実 - Single
de〜ku,圧倒的 (feat. NAOYA),圧倒的 (feat. NAOYA) - Single
Fire Ball,Wonderful Days,"FIRE BALL All Time Best ""WHITE~People's Choice~"""
HAN-KUN,あなたに,Musical Ambassador
775,処女の少女,処女の少女 - Single
PUSHIM,a song dedicated,BEST 1999-2009
EXPRESS,交差点 (2021 Ver.),Signal E
Repezen Foxx & Oak Soe Khant,Top One,TOP ONE - Single
Peromu,So Sexy Winey,FLAT MUSIC 2nd
ショーン・ポール & デヴィッド・ゲッタ,Mad Love (feat. Becky G),Mad Love (feat. Becky G) - Single
Rickie-G,Anytime,Anytime - Single
de〜ku,KEEP&SHINE (Remake Ver.),Music Supplement 4
lecca,Dear,BEST POSITIVE
ベリーグッドマン,君に願いを,SING SING SING 2
ARIWA,Drown Love,Drown Love - Single
Peromu,Bam Bam Massive,Bam Bam Massive - Single
卍LINE,ブンシャカラカ,TIME WAVE
RAY,JUMP UP,オーバーレイ
SA.RI.NA,あなたといたいから,SWEET BALANCE
775,七七五,七七五 - Single
NANJAMAN,行きたきゃ行け,STRAIGHT UP
RAY,言葉の力,SOUTH YAAD MUZIK ''STEP UP RIDDIM Part.3'' - EP
寿君 & MUNEHIRO,LONG DISTANCE part.2,コンビイズム X 14ゴールデン・コラボレーション
ASOUND,Meditation (feat. 鎮座DOPENESS),Meditation (feat. 鎮座DOPENESS) - Single
"RED SPIDER, APOLLO, KENTY GROSS & NATURAL WEAPON","""D"" (feat. KIRA)",変エルノ詩
ボブ・マーリー & ザ・ウェイラーズ,Stir It Up,Legend – The Best Of Bob Marley & The Wailers
WKIDS,STAGE,通過点 - EP
lecca,ちから,パワーバタフライ
SPICY CHOCOLATE,HAPPY LOVE (feat. Hina(from FAKY) & SHuN-BOX),HAPPY LOVE (feat. Hina(from FAKY) & SHuN-BOX) - Single
ONEDER,HANA,HANA - Single
775,Crazy about you,Crazy about you - Single
ジミー・クリフ,I Can See Clearly Now,We All Are One: The Best of Jimmy Cliff
Fire Ball,Missing You,"FIRE BALL All Time Best ""WHITE~People's Choice~"""
ザ・ウェイラーズ,"Get Up, Stand Up",Legend – The Best Of Bob Marley & The Wailers
インナー・サークル,Bad Boys (Theme from Cops),Bad Boys (Theme from Cops) - Single
CHEHON,真向勝負,RE:START
J‐REXXX,早口バカ,HUMAN
SPICY CHOCOLATE,ベイビーガール (feat. RAY & 當山みれい),渋谷純愛物語2
Peromu,Hold Me Close (feat. OttO),FLAT MUSIC 3rd
kurome,Bassline,Bassline - Single
ASAD,GIVE ME LOVE,GIVE ME LOVE - Single
FIRE SUZUKI,くたばれ,FIRE SUZUKI Level 1
WKIDS & RKID'z,親友 (Remix),親友 (Remix) - Single
羊文学,more than words,more than words - EP
Vaundy,恋風邪にのせて,恋風邪にのせて - Single
クレイジーウォウウォ!!,トンツカタンタン,トンツカタンタン - Single
SUPER BEAVER,生きがい,生きがい - Single
RADWIMPS,君と羊と青,RADWIMPSのはじまりはじまりのまとめ
スピッツ,楓,フェイクファー
RADWIMPS,会心の一撃,RADWIMPSのはじまりはじまりのまとめ
ONE OK ROCK,欲望に満ちた青年団,ゼイタクビョウ
ONE OK ROCK,Wasted Nights,Eye of the Storm
OKAMOTO'S & KEIJU,Seasons,Seasons - Single
Vaundy,花占い,花占い - Single
優里,シャッター,シャッター - Single
Vaundy,しわあわせ,しわあわせ - Single
Vaundy,東京フラッシュ,東京フラッシュ - Single
Mrs. GREEN APPLE,Carrying Happiness,Carrying Happiness - Single
サカナクション,ミュージック,sakanaction
優里,ビリミリオン,ビリミリオン - Single
RADWIMPS,前前前世,人間開花
ヤングスキニー,雪月花,不器用な私だから - EP
Saucy Dog,今更だって僕は言うかな,テイクミー
ジェニーハイ,華奢なリップ (feat. ちゃんみな),華奢なリップ (feat. ちゃんみな) - Single
Vaundy,そんなbitterな話,そんなbitterな話 - Single
ONE OK ROCK,The Beginning,人生×僕=
ONE OK ROCK,完全感覚Dreamer,Nicheシンドローム
Mrs. GREEN APPLE,私は最強,Soranji - Single
スピッツ,ロビンソン,ハチミツ
優里,カーテンコール,カーテンコール - Single
Vaundy,napori,strobo
RADWIMPS,セプテンバーさん,青とメメメと君と
スピッツ,美しい鰭,美しい鰭 - Single
ONE OK ROCK,Stand Out Fit In,Eye of the Storm
Mrs. GREEN APPLE,夏の影,夏の影 - Single
Novelbright,Walking with you,SKYWALK
Mrs. GREEN APPLE,ニュー・マイ・ノーマル,ニュー・マイ・ノーマル - Single
Saucy Dog,結,結 - Single
MY FIRST STORY,I'm a mess,告白 - Confession - Single
マカロニえんぴつ,ヤングアダルト,season - EP
This is LAST,#情とは,#情とは - Single
マカロニえんぴつ,洗濯機と君とラヂオ,CHOSYOKU
RADWIMPS,トレモロ,RADWIMPSのはじまりはじまりのまとめ
ヨルシカ,だから僕は音楽を辞めた,だから僕は音楽を辞めた
Novelbright,愛とか恋とか,Assort
Mrs. GREEN APPLE,Dear,Dear - Single
サカナクション,アイデンティティ,DocumentaLy
マカロニえんぴつ,ミスター・ブルースカイ,CHOSYOKU
ONE OK ROCK,キミシダイ列車,残響リファレンス
Saucy Dog,魔法にかけられて,魔法にかけられて - Single
優里,恋人じゃなくなった日,恋人じゃなくなった日 - Single
Vaundy,まじで、サヨナラべぃべぃ,まじで、サヨナラべぃべぃ - Single
SPYAIR,オレンジ,オレンジ
サカナクション,Aoi,sakanaction
Mrs. GREEN APPLE,アポロドロス,アポロドロス - Single
Saucy Dog,あぁ、もう。,あぁ、もう。 - Single
Mrs. GREEN APPLE,ナハトムジーク,ナハトムジーク - Single
GLAY,HOWEVER,HOWEVER - Single
RADWIMPS,カナタハルカ,すずめの戸締まり
ヤングスキニー,るっせぇ女,るっせぇ女 - Single
Mrs. GREEN APPLE,嘘じゃないよ,Attitude
RADWIMPS,筆舌,あにゅー
ヨルシカ,春泥棒,春泥棒 - Single
優里,桜晴,桜晴 - Single
ヨルシカ,ただ君に晴れ,負け犬にアンコールはいらない
10-FEET,第ゼロ感,第ゼロ感 - Single
Vaundy,灯火,strobo
サカナクション,夜の踊り子,sakanaction
RADWIMPS,正解,正解 - EP
クリープハイプ,栞,泣きたくなるほど嬉しい日々に
Vaundy,pained,pained - Single
B'z,LOVE PHANTOM,LOVE PHANTOM - Single
B'z,ultra soul,ultra soul - Single
My Hair is Bad,いいんですか?,Dear Jubilee -RADWIMPS TRIBUTE-
サカナクション,忘れられないの,834.194
RADWIMPS,ワールドエンドガールフレンド,あにゅー
ONE OK ROCK,We are,Ambitions
SUPER BEAVER,名前を呼ぶよ,名前を呼ぶよ - Single
優里,夏音,夏音 - Single
Mrs. GREEN APPLE,CHEERS,Attitude
エレファントカシマシ,今宵の月のように,明日に向かって走れ-月夜の歌-
HY,AM11:00,Street Story
Saucy Dog,魔法が解けたら,魔法が解けたら - Single
Mrs. GREEN APPLE,春愁,"Love me, Love you - EP"
ONE OK ROCK,C.h.a.o.s.m.y.t.h.,残響リファレンス
ずっと真夜中でいいのに。,メディアノーチェ,メディアノーチェ - Single
Vaundy,常熱,replica
Hump Back,拝啓、少年よ,拝啓、少年よ
ヤングスキニー,stay with me,理屈で話す君と、感情論の僕
SPYAIR,サムライハート(Some Like It Hot!!),サムライハート(Some Like It Hot!!) - Single
ONE OK ROCK,Re:make,残響リファレンス
Awesome City Club,勿忘,Grower
B'z,イチブトゼンブ,イチブトゼンブ / DIVE - EP
Mrs. GREEN APPLE,狭心症,Dear Jubilee -RADWIMPS TRIBUTE-
Vaundy,泣き地蔵,泣き地蔵 - Single
サカナクション,モス,834.194
RADWIMPS,いいんですか?,RADWIMPSのはじまりはじまりのまとめ
玉置浩二,メロディー,メロディー - Single
マカロニえんぴつ,レモンパイ,レモンパイ - Single
RADWIMPS,七ノ歌,アルトコロニーの定理
ヤングスキニー,本当はね、,本当はね、 - Single
SHISHAMO,明日も,SHISHAMO 4
RADWIMPS,05410-(ん),青とメメメと君と
SUPER BEAVER,突破口,突破口 / 自慢になりたい - Single
ロードオブメジャー,大切なもの,GOLDEN ROAD ~BEST~
Mrs. GREEN APPLE,lovin',Attitude
RADWIMPS,賜物,賜物 - Single
ヨルシカ,DARMA GRAND PRIX,Dear Jubilee -RADWIMPS TRIBUTE-
MAN WITH A MISSION & milet,絆ノ奇跡,絆ノ奇跡 / コイコガレ - EP
Mrs. GREEN APPLE,慶びの種,10
Saucy Dog,シーグラス,シーグラス - Single
サカナクション,多分、風。,多分、風。
スピッツ,灯を護る,灯を護る - Single
TK from 凛として時雨,unravel,unravel - Single
[Alexandros],閃光,閃光 - Single
WANIMA,ともに,JUICE UP!! - EP
尾崎豊,I LOVE YOU,ALL TIME BEST
SUPER BEAVER,主人公,主人公 - Single
ONE OK ROCK,Change,Eye of the Storm
Vaundy,前前前世,Dear Jubilee -RADWIMPS TRIBUTE-
